sales,month,year,display_size,primary_camera,ram,storage,battery,prices,market
0.78,1,2013,4.0,8.0,1024.0,16.0,1440.0,655.85,ios
0.0999999999999999,2,2013,4.0,8.0,1024.0,16.0,1440.0,655.7,ios
1.12,3,2013,4.0,8.0,1024.0,16.0,1440.0,652.55,ios
1.26,4,2013,4.0,8.0,1024.0,16.0,1440.0,651.9,ios
0.765,5,2013,4.0,8.0,1024.0,16.0,1440.0,632.91,ios
0.27,6,2013,4.0,8.0,1024.0,16.0,1440.0,614.48,ios
0.71,7,2013,4.0,8.0,1024.0,16.0,1440.0,596.58,ios
0.22,8,2013,4.0,8.0,1024.0,16.0,1440.0,579.21,ios
0.38,9,2013,4.0,8.0,1024.0,16.0,1440.0,562.34,ios
0.26,10,2013,4.0,8.0,1024.0,16.0,1440.0,545.96,ios
0.12,11,2013,4.0,8.0,1024.0,16.0,1440.0,530.06,ios
0.04,12,2013,4.0,8.0,1024.0,16.0,1440.0,514.62,ios
0.05,1,2014,4.0,8.0,1024.0,16.0,1440.0,499.63,ios
0.07,2,2014,4.0,8.0,1024.0,16.0,1440.0,485.08,ios
0.08,3,2014,4.0,8.0,1024.0,16.0,1440.0,464.28,ios
0.03,4,2014,4.0,8.0,1024.0,16.0,1440.0,464.28,ios
0.05,5,2014,4.0,8.0,1024.0,16.0,1440.0,489.11,ios
0.04,6,2014,4.0,8.0,1024.0,16.0,1440.0,424.8,ios
0.03,7,2014,4.0,8.0,1024.0,16.0,1440.0,413.6,ios
0.02,8,2014,4.0,8.0,1024.0,16.0,1440.0,383.29,ios
0.01,9,2014,4.0,8.0,1024.0,16.0,1440.0,377.32,ios
0.01,10,2014,4.0,8.0,1024.0,16.0,1440.0,378.48,ios
0.01,11,2014,4.0,8.0,1024.0,16.0,1440.0,356.45,ios
0.01,12,2014,4.0,8.0,1024.0,16.0,1440.0,332.98,ios
0.78,9,2013,4.0,8.0,1024.0,32.0,1570.0,722.66,ios
0.59,10,2013,4.0,8.0,1024.0,32.0,1570.0,701.61,ios
0.51,11,2013,4.0,8.0,1024.0,32.0,1570.0,681.18,ios
