FOD_ID,STAT_CAUSE_DESCR,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,distance,air_temperature,relative_humidity,wind_speed,precipitation,AQI_AGGREGATE,month
300201849,Debris Burning,0.1,0,40.74583333,-121.46777778,CA,9.91,11.11,49.0,7.6,262.636,0.0,1
300201850,Arson,1.0,0,40.77833333,-121.52333333,CA,8.08,7.22,97.0,0.0,65.405,0.0,1
300201851,Debris Burning,0.1,0,40.76361111,-121.49888889,CA,7.115,6.11,95.0,0.0,66.04,0.0,1
300201852,Debris Burning,0.1,0,40.65666667,-121.35111111,CA,5.53,10.56,51.0,1.34,20.828,0.0,1
300201853,Lightning,0.1,0,40.68666667,-121.32083333,CA,8.42,21.11,42.0,1.34,0.0,0.0,1
300201854,Campfire,0.25,0,40.8175,-121.44944444,CA,8.03,12.22,39.0,2.23,81.534,0.0,1
300201855,Lightning,0.1,0,40.63388889,-121.32083333,CA,8.00666666666667,10.28,80.5,2.01,21.1666666666667,0.0,1
300201856,Lightning,0.5,0,40.6925,-121.49,CA,4.47,10.0,59.0,6.26,36.576,0.0,1
300201857,Lightning,0.25,0,40.83305556,-121.16916667,CA,6.9,17.78,58.0,1.34,78.74,0.0,1
300201858,Campfire,0.25,0,40.69361111,-121.37472222,CA,8.85,10.56,72.0,1.79,100.33,0.0,1
300201859,Lightning,0.1,0,40.65361111,-121.22388889,CA,8.635,9.75,91.5,0.0,492.252,0.0,1
300201860,Lightning,0.1,0,40.06944444,-121.67138889,CA,4.62,6.67,95.0,1.34,80.518,0.0,1
300201861,Lightning,0.1,0,40.39972222,-121.34972222,CA,6.84666666666667,6.66666666666667,72.5,1.79,29.972,35.6666666666667,1
300201862,Miscellaneous,0.21,0,40.29472222,-121.41777778,CA,9.16,-2.22,87.0,0.0,68.834,47.75,1
300201863,Lightning,0.1,0,40.40833333,-121.46111111,CA,6.19,5.83,,,1104.646,0.0,1
300201864,Lightning,0.1,0,40.23305556,-121.21638889,CA,5.01,10.97,100.0,0.0,173.312666666667,53.5,1
300201865,Lightning,0.25,0,40.22861111,-121.415,CA,8.235,12.5,71.0,2.455,16.891,0.0,1
300201866,Campfire,0.1,0,40.21027778,-121.14972222,CA,4.41,8.95333333333333,99.0,0.45,564.980666666667,42.5,1
300201867,Campfire,0.1,0,40.20388889,-121.12333333,CA,5.2075,9.2525,68.0,0.0,561.170666666667,40.625,1
300201868,Lightning,0.1,0,40.48666667,-121.09833333,CA,7.105,14.72,69.5,0.28,3.81,0.0,1
300201869,Lightning,0.5,0,40.06111111,-121.30833333,CA,5.3,13.89,87.0,0.0,1879.6,0.0,1
300201870,Lightning,0.1,0,40.38416667,-121.32083333,CA,6.62666666666667,12.0366666666667,80.5,0.0,641.731,40.5,1
300201871,Lightning,0.2,0,40.18305556,-121.31638889,CA,8.545,12.885,80.0,0.0,641.35,46.0,1
300201872,Lightning,0.1,0,40.35,-121.355,CA,7.6,9.99666666666667,97.5,0.0,633.984,53.5,1
300201873,Lightning,0.25,0,40.36083333,-121.48055556,CA,6.87,13.61,,,1193.927,0.0,1
300201874,Lightning,0.1,0,40.37472222,-121.31805556,CA,6.72333333333333,7.59,92.5,0.9,640.08,45.625,1
300201875,Lightning,0.1,0,40.20444444,-121.47055556,CA,6.465,11.39,87.5,1.34,37.973,0.0,1
300201876,Campfire,0.4,0,40.00777778,-121.51388889,CA,6.395,12.345,24.0,2.23,681.99,0.0,1
300201877,Lightning,0.3,0,40.20555556,-121.49277778,CA,6.625,13.61,42.5,2.01,59.182,0.0,1
300201878,Lightning,0.1,0,40.69472222,-120.7975,CA,6.285,-0.835,93.0,0.0,234.569,0.0,1
